date,timeset,start,difficult,feedbackthreshold,baseline,threshold,gametime,gametrigger,movetime,movetrigger,moveEnd,score,stop,time,data
9/11/2018 1:48:25 PM,20,1144.25,,0,0,1,,,,,,0,1164.25,"1145.223 1146.223 1147.223 1148.223 1149.223 1150.223 1151.223 1152.223 1153.223 1154.223 1155.223 1156.223 1157.223 1158.223 1159.223 1160.223 1161.223 1162.223 1163.223 1164.223 ","0.316 0.473 0.225 0.330 0.251 0.329 0.294 0.559 0.534 0.301 0.437 0.599 1.075 0.444 0.867 0.876 0.656 1.030 0.533 0.549 "
9/11/2018 1:48:54 PM,15,1172.57,,0,0,1,,,,,,0,1184.75,"1173.223 1174.223 1175.223 1176.223 1177.223 1178.223 1179.223 1180.223 1181.223 1182.223 1183.223 1184.223 ","1.414 2.992 2.067 1.152 2.097 2.834 0.855 0.942 1.640 1.957 1.695 0.730 "
9/11/2018 1:50:12 PM,15,1250.41,,0,0,1,,,"1258.219 ","2 ","1258.719 ",0,1263.29,"1250.535 1251.535 1252.535 1253.535 1254.535 1255.535 1256.535 1257.535 1258.535 1259.535 1260.535 1261.535 1262.535 ","1.204 3.029 2.478 4.005 3.141 6.207 4.326 4.288 3.380 3.659 2.359 2.336 5.600 "
9/11/2018 1:54:32 PM,15,1511.04,,0,0,1,,,,,,0,1526.07,"1511.973 1512.973 1513.973 1514.973 1515.973 1516.973 1517.973 1518.973 1519.973 1520.973 1521.973 1522.973 1523.973 1524.973 1525.973 ","6.618 2.845 1.068 0.754 1.533 1.884 2.202 1.776 2.205 1.254 1.412 1.465 1.161 1.520 1.859 "
9/11/2018 1:58:31 PM,15,1749.57,,0,0,1,,,,,,0,1764.57,"1749.910 1750.910 1751.910 1752.910 1753.910 1754.910 1755.910 1756.910 1757.910 1758.910 1759.910 1760.910 1761.910 1762.910 1763.910 ","0.354 0.563 0.491 0.262 0.312 0.249 0.268 0.427 0.184 0.176 0.307 0.236 0.205 0.286 0.304 "
9/11/2018 2:01:19 PM,None,1917.41,easy,0.5,0,1,,,,,,0,1920.29,"1918.160 1919.160 1920.160 ","23531.710 1165.902 155.724 "
9/11/2018 2:03:29 PM,None,2047.69,easy,0.5,0,1,,,,,,0,2049.69,"2048.004 2049.004 ","1.024 0.782 "
9/11/2018 2:03:34 PM,None,2052.41,hard,0.5,0,1,,,,,,0,2054.50,"2053.004 2054.004 ","23.677 4.395 "
9/11/2018 2:10:27 PM,None,2466.17,easy,0.5,0,1,,,,,,0,2467.91,"2466.973 ","0.004 "
9/11/2018 2:10:47 PM,20,2485.44,easy,0.5,0,1,"2500.594 ","1 ",,,,10,2505.47,"2485.973 2486.973 2487.973 2488.973 2489.973 2490.973 2491.973 2492.973 2493.973 2494.973 2495.973 2496.973 2497.973 2498.973 2499.973 2500.973 2501.973 2502.973 2503.973 2504.973 ","0.002 0.003 0.007 0.003 0.005 0.005 0.004 0.002 0.002 0.004 0.005 0.004 0.004 0.004 0.006 0.006 0.003 0.005 0.003 0.003 "
9/11/2018 3:15:52 PM,None,2830.91,easy,0.5,0,1,2832.41,,,,,,0,"2831.691 ","59.127 "
9/11/2018 3:15:55 PM,None,2834.41,hard,0.5,0,1,,,,,,0,2838.54,"2834.691 2835.691 2836.691 2837.691 ","22.482 21.306 19.223 26.794 "
9/11/2018 3:16:36 PM,20,2875.25,,0,0,1,"2890.594 ","1 ","2885.156 2885.719 ","1 1 ","2885.375 2885.938 ",10,2895.25,"2875.254 2876.254 2877.254 2878.254 2879.254 2880.254 2881.254 2882.254 2883.254 2884.254 2885.254 2886.254 2887.254 2888.254 2889.254 2890.254 2891.254 2892.254 2893.254 2894.254 ","49.809 20.202 17.380 20.886 16.777 67.495 29.337 30.515 23.431 56.854 125.941 50.155 49.560 43.997 40.429 35.334 135.151 161.351 105.068 229.733 "
