latency	type
1007.438	1
1013.348	1
1019.301	1
1025.406	1
1031.094	1
1037.031	1
1042.969	1
1049.406	1
1055.406	1
1060.688	1
1066.375	1
1072.5	1
1078.188	1
1084.074	1
1090.156	1
1096	1
1102.031	1
1107.75	1
1113.625	1
1119.594	1
1125.563	1
1131.438	1
1137.781	1
1144.344	1
1149.094	1
1155.031	1
1160.938	1
1166.875	1
1172.719	1
1178.656	1
1185.25	1
1190.5	1
1196.375	1
1202.281	1
1208.219	1
1214.188	1
1220.031	1
1226.25	1
1231.875	1
1237.813	1
1243.719	1
1249.688	1
1255.594	1
1261.406	1
1267.438	1
1273.219	1
1279.125	1
1285.031	1
1290.938	1
1296.844	1
1302.906	1
1308.719	1
1314.719	1
1320.469	1
1326.563	1
1332.313	1
1338.25	1
1344.125	1
1350.219	1
1355.938	1
1361.844	1
1367.781	1
1374.188	1
1379.625	1
1386.563	1
1391.625	1
1397.531	1
1403.25	1
1409.281	1
1415.188	1
1420.281	1
1427.063	1
1432.938	1
1439.25	1
1445.281	1
1451.938	1
1457.906	1
1463.313	1
1469.813	1
1474.313	1
1480.188	1
1486.156	1
1492	1
1498	1
1503.844	1
1509.813	1
1515.688	1
1521.531	1
1527.469	1
1533.438	1
1539.281	1
1545.656	1
1551.313	1
1556.438	1
1562.035	1
1568.563	1
1574.531	1
1581.125	1
1586.438	1
1592.563	1
1597.031	1
1809.375	1
1815.281	1
1821.219	1
1827.094	1
1833.004	1
1839.063	1
1844.813	1
1850.75	1
1856.656	1
1862.594	1
1869.813	1
1874.375	1
1880.281	1
1886.781	1
1892.781	1
1898.5	1
1903.938	1
1910	1
1915.75	1
1921.688	1
1927.813	1
1933.656	1
1940.063	1
1945.75	1
1952.375	1
1957.363	1
1964.75	1
1969	1
1974.875	1
1980.75	1
1986.656	1
1992.563	1
1999.219	1
2004.938	1
2010.844	1
2017.813	1
2024.469	1
2028.563	1
2034.563	1
2040.375	1
2046.375	1
2052.188	1
2058.094	1
2064.031	1
2069.988	1
2076.063	1
2081.375	1
2087	1
2093.188	1
2099.063	1
2104.781	1
2111	1
2117.094	1
2122.844	1
2128.875	1
2134.625	1
2140.531	1
2146.438	1
2152.406	1
2158.781	1
2164.531	1
2170.156	1
2176.156	1
2182	1
2187.938	1
2193.719	1
2199.656	1
2205.625	1
2211.688	1
2217.656	1
2224.375	1
2229.402	1
2234.563	1
2240.473	1
2246.406	1
2252.313	1
2259.125	1
2265.875	1
2272.594	1
2276.844	1
2282.875	1
2288.688	1
2293.781	1
2300.25	1
2306.156	1
2312.031	1
2318.031	1
2323.813	1
2329.75	1
2335.688	1
2341.531	1
2347.563	1
2353.344	1
2359.719	1
2365.094	1
2370.969	1
2376.875	1
2382.75	1
2388.781	1
2394.625	1
2399.969	1
2827.313	1
2838.25	1
2844.375	1
2847.969	1
2879.375	1
2882.688	1
2900.25	1
2913.594	1
2975.406	1
3007.656	1
3043.219	1
3047.219	1
3225.875	1
3357.25	1
3360.25	1
