Latency	Type
356.844	-1
358.469	1
363.875	1
371.219	1
375.813	1
381.625	1
387.344	1
392.719	-1
393.031	-1
393.063	1
398.609	1
404.438	1
409.219	1
417.938	1
422.813	1
427.281	1
433.719	1
440.344	1
445.938	1
449.125	-1
451.563	1
458.156	1
462.188	1
468.875	1
474.844	1
475.063	-1
480.438	1
487.688	1
492.656	1
498.625	1
503.125	-1
505.344	-1
505.5	1
509.906	1
513.5	-1
516.844	-1
518	-1
519.031	1
521.031	-1
522.25	1
527	-1
528.531	1
533.5	1
540.938	1
544.594	1
553.156	1
557.156	1
561.594	-1
563.438	1
569.344	1
575.531	1
581.281	1
588.781	-1
590.063	1
590.094	-1
593.219	-1
594.281	1
599.188	1
604.688	1
609.875	-1
611.441	1
616.438	-1
617.969	-1
618.695	1
622.156	1
628.188	1
630.875	-1
636.781	1
641.031	-1
642.625	1
