Latency	Type
692.531	-1
693.969	1
697.5	1
704.188	-1
705.969	1
710.375	1
717.406	-1
717.438	1
718.625	-1
723.094	1
730.156	1
733.969	1
741.438	1
746.813	1
751.723	-1
752.938	1
758.313	1
764.188	1
769.125	1
774.375	1
781.906	-1
782.813	1
786.406	1
793.344	1
800	1
805.438	1
806.156	-1
810.5	1
818.531	1
824.656	1
832.406	1
835.938	1
839.844	1
846.156	1
852.438	1
859.906	1
866.375	-1
867.563	1
868.594	-1
870.531	1
876.906	1
880.781	1
888.75	1
892.781	-1
895.844	-1
897	1
899.531	1
904.625	1
911.313	1
918.188	1
924.719	1
927.313	-1
930.094	1
930.156	-1
931	-1
935.344	1
941.969	1
945.594	-1
946.063	1
952.656	1
953.313	-1
958.75	1
963.938	1
970.469	1
978.844	1
982.5	1
