Latency	Type	Direction
349.781	press	H
350.219	release	H
352.156	press	H
352.438	release	H
356.25	press	H
356.625	release	H
356.719	press	H
357.656	release	H
361.27	press	H
361.844	release	H
364.219	press	H
364.813	release	H
367.563	press	H
367.781	release	H
370.344	press	H
371.219	release	H
372.281	press	H
372.813	release	H
373.75	press	H
374.02	release	H
375.328	press	H
375.781	release	H
377	press	H
377.344	release	H
380.813	press	H
381.313	release	H
382.063	press	H
382.379	release	H
383.031	press	H
383.469	release	H
385.031	press	H
385.457	release	H
385.75	press	H
386.094	release	H
387.125	press	V
387.375	release	V
387.875	press	V
388.406	release	V
388.719	press	H
389.063	release	H
389.25	press	H
389.906	release	H
390.219	press	V
390.781	release	V
391.219	press	H
391.563	release	H
392.203	press	H
392.625	release	H
392.906	press	H
393.563	release	H
394.344	press	H
395.219	release	H
396.156	press	H
396.594	release	H
397.844	press	H
398.031	release	H
398.563	press	H
398.688	release	H
399.094	press	H
399.5	release	H
400.563	press	H
401.063	release	H
403.438	press	H
403.844	release	H
404.625	press	H
405.25	release	H
406.625	press	H
406.938	release	H
407.719	press	H
407.781	release	H
408.094	press	H
408.316	release	H
408.656	press	V
409.219	release	V
409.406	press	V
410.313	release	V
411.887	press	H
412.188	release	H
413.574	press	H
413.906	release	H
414.438	press	V
414.656	release	V
414.844	press	H
415.188	release	H
416.594	press	H
416.844	release	H
417.469	press	H
417.844	release	H
418.094	press	H
418.531	release	H
419.469	press	H
419.969	release	H
420.719	press	H
421.188	release	H
421.656	press	V
422.031	release	V
422.344	press	H
422.813	release	H
423.156	press	H
423.438	release	H
425.531	press	H
425.969	release	H
426.406	press	V
426.813	release	V
427	press	H
427.344	release	H
427.844	press	V
428.625	release	V
429	press	H
429.438	release	H
430.281	press	H
430.688	release	H
431.438	press	V
431.813	release	V
431.969	press	H
432.75	release	H
433.844	press	H
434.313	release	H
434.875	press	V
435.563	release	V
435.938	press	H
436.281	release	H
437.5	press	H
438.031	release	H
438.625	press	V
439.082	release	V
439.27	press	H
439.781	release	H
441.844	press	V
442.344	release	V
442.875	press	H
443.344	release	H
444.531	press	V
445.25	release	V
445.453	press	H
445.938	release	H
446.344	press	H
447.063	release	H
448.688	press	H
449.813	release	H
450.969	press	H
451.594	release	H
452.625	press	V
453.344	release	V
454.406	press	H
454.75	release	H
454.969	press	V
455.281	release	V
456.688	press	H
456.844	release	H
457.098	press	V
457.469	release	V
457.719	press	H
458.125	release	H
458.281	press	H
458.75	release	H
461.125	press	H
461.391	release	H
461.594	press	V
462.125	release	V
462.406	press	V
463.344	release	V
464.594	press	H
464.844	release	H
465.094	press	H
465.406	release	H
466.031	press	H
466.688	release	H
466.938	press	H
467.125	release	H
467.219	press	V
468.031	release	V
468.563	press	H
469.281	release	H
469.844	press	V
470.594	release	V
471.438	press	H
471.688	release	H
472.719	press	H
473.188	release	H
473.563	press	V
474.156	release	V
474.406	press	H
474.844	release	H
475.063	press	H
475.688	release	H
476.156	press	V
476.938	release	V
477.063	press	H
477.5	release	H
478.25	press	H
478.344	release	H
478.719	press	V
479.156	release	V
479.375	press	H
479.656	release	H
479.813	press	V
480.25	release	V
480.844	press	V
481.688	release	V
483	press	H
483.313	release	H
485.375	press	H
486	release	H
487.074	press	V
487.563	release	V
489.406	press	H
489.625	release	H
490	press	V
490.563	release	V
490.969	press	V
491.875	release	V
492.094	press	H
492.594	release	H
492.938	press	H
493.316	release	H
493.594	press	V
494.406	release	V
495.375	press	H
495.688	release	H
496.563	press	H
497.469	release	H
497.719	press	V
498.375	release	V
499.531	press	V
499.969	release	V
500.188	press	H
500.531	release	H
501.156	press	V
502.156	release	V
502.625	press	H
502.969	release	H
503.781	press	H
504.156	release	H
504.344	press	V
504.781	release	V
505.125	press	H
505.719	release	H
506.656	press	V
507.25	release	V
507.719	press	H
508.5	release	H
508.844	press	V
509.844	release	V
510.594	press	H
510.844	release	H
511.094	press	V
512.313	release	V
513.094	press	H
514.094	release	H
515.031	press	V
515.625	release	V
516.563	press	H
517.281	release	H
517.375	press	H
517.781	release	H
517.906	press	V
518.531	release	V
518.594	press	H
518.938	release	H
519.688	press	H
520	release	H
520.281	press	V
520.844	release	V
521.281	press	V
521.656	release	V
521.969	press	H
522.219	release	H
522.594	press	H
523.063	release	H
523.285	press	V
523.941	release	V
524.75	press	H
525.094	release	H
526.031	press	V
526.438	release	V
526.719	press	H
527.379	release	H
528.5	press	H
528.695	release	H
529.375	press	V
530.031	release	V
530.5	press	H
531.219	release	H
531.844	press	V
532.82	release	V
533.125	press	H
533.531	release	H
533.906	press	V
534.938	release	V
537.625	press	H
537.719	release	H
538.125	press	H
538.406	release	H
538.633	press	H
539.375	release	H
539.531	press	V
540.344	release	V
540.594	press	H
541.281	release	H
542.344	press	H
542.719	release	H
543.781	press	V
544.441	release	V
544.781	press	V
545.781	release	V
546.844	press	H
547.063	release	H
547.406	press	H
547.688	release	H
548.594	press	H
548.969	release	H
549.879	press	H
550.344	release	H
551.531	press	H
552.094	release	H
552.281	press	V
552.695	release	V
552.938	press	H
553.156	release	H
553.375	press	V
554.066	release	V
554.375	press	H
554.754	release	H
555.188	press	V
555.695	release	V
555.813	press	H
556.563	press	V
556.719	release	H
557.195	release	V
557.406	press	V
558.469	release	V
558.688	press	H
559.031	release	H
559.813	press	H
560.219	release	H
560.469	press	V
560.758	release	V
561.125	press	H
561.813	release	H
562.313	press	V
562.906	release	V
563.125	press	H
563.438	release	H
563.781	press	H
564.25	release	H
564.406	press	V
565.441	release	V
566.875	press	H
567.344	release	H
567.531	press	H
568.063	release	H
568.156	press	V
569.031	release	V
569.344	press	H
569.906	release	H
569.906	press	V
570.281	release	V
572.656	press	V
572.844	release	V
573.25	press	H
573.594	release	H
573.969	press	H
574.813	release	H
575	press	V
575.531	release	V
575.875	press	H
576.188	release	H
576.531	press	V
577.375	release	V
577.906	press	H
578.188	release	H
578.938	press	H
579.129	release	H
579.379	press	V
580.07	release	V
580.25	press	H
580.656	release	H
581.219	press	H
581.844	release	H
582.344	press	H
583.156	release	H
583.5	press	V
584	release	V
584.945	press	H
585.5	release	H
585.656	press	V
586.219	release	V
586.438	press	V
587.406	release	V
588.656	press	H
589.324	release	H
589.594	press	H
590.094	release	H
590.438	press	H
591.031	release	H
591.129	press	H
591.625	release	H
591.695	press	V
592.102	release	V
592.328	press	H
592.594	release	H
592.816	press	H
593.125	release	H
593.719	press	H
593.938	release	H
594.063	press	V
594.406	release	V
594.781	press	V
595.719	release	V
596.188	press	H
596.469	release	H
596.875	press	V
597.063	release	V
597.188	press	H
597.938	press	V
598.594	release	V
598.719	release	H
598.969	press	H
599.156	release	H
599.938	press	H
600.531	release	H
601.156	press	H
601.469	release	H
603.695	press	H
604.094	release	H
604.344	press	V
604.781	release	V
605.594	press	V
606.438	release	V
607.094	press	H
607.531	release	H
608.281	press	H
608.563	release	H
609.469	press	H
610.094	release	H
610.531	press	H
610.781	release	H
610.969	press	V
611.438	release	V
611.75	press	V
612.504	release	V
612.844	press	H
614.844	release	H
615.063	press	V
615.344	release	V
615.938	press	H
616.438	release	H
617.094	press	H
617.469	release	H
617.531	press	H
617.844	release	H
618.25	press	H
618.438	release	H
619.125	press	H
619.406	release	H
620.719	press	H
621.156	release	H
621.313	press	V
622.219	release	V
