latency	type
687.719	1
695.063	1
700.969	1
705.875	1
713.156	1
718.41	1
723.719	1
730.313	1
735.25	1
742.063	1
746.5	1
753.063	1
759.125	1
765.063	1
770.125	1
776.125	1
783.281	1
788.656	1
796.156	1
800.844	1
807.719	1
812.406	1
819.438	1
823.875	1
835.219	1
841.188	1
848.281	1
852.469	1
858.781	1
866.688	1
872.719	1
876.688	1
882.531	1
888.438	1
896	1
907.063	1
912.188	1
918.438	1
923.75	1
931.344	1
935.781	1
941.719	1
948.156	1
952.594	1
960.531	1
966.09	1
971.957	1
982.063	1
983.625	1
989.344	1
997.063	1
1000.781	1
1008.625	1
1011.938	1
1018.969	1
1024.563	1
1031.406	1
1037.125	1
1043.438	1
1050.594	1
1055.094	1
1060.813	1
1066.938	1
1072.688	1
1078.75	1
1084.406	1
1090.375	1
1094.531	1
1102.438	1
1114.219	1
1118.563	1
1125.094	1
1133.438	1
1136.656	1
1142.344	1
1156.906	1
1159.918	1
1165.781	1
1173.938	1
1178	1
1186.344	1
1193.375	1
1195.188	1
1204.031	1
1209.938	1
1215.813	1
1219.438	1
1225.719	1
1231.906	1
1236.594	1
1242.656	1
1248.594	1
1254.594	1
1260.074	1
1267.563	1
1271.563	1
1279.188	1
1575.219	1
1582.438	1
1588.313	1
1594	1
1599.063	1
1604.313	1
1611.688	1
1616.75	1
1623.969	1
1629.844	1
1634.813	1
1641.375	1
1647.188	1
1653.094	1
1659	1
1663.75	1
1671.469	1
1677.406	1
1683.25	1
1689.188	1
1694.25	1
1699.438	1
1706	1
1711.125	1
1717.063	1
1724.25	1
1730.125	1
1734.719	1
1741.875	1
1747.094	1
1752.063	1
1760.25	1
1766.25	1
1772.188	1
1777.59	1
1786.645	1
1790.469	1
1794.094	1
1800	1
1806.344	1
1811.25	1
1818.094	1
1823.969	1
1829.375	1
1836.781	1
1841.75	1
1847.688	1
1853.594	1
1859.531	1
1865.438	1
1871.375	1
1877.281	1
1883.156	1
1889.063	1
1895.031	1
1900.875	1
1906.844	1
1913.125	1
1918.844	1
1924.781	1
1930.875	1
1936.594	1
1942.531	1
1948.406	1
1954.313	1
1960.188	1
1966.156	1
1972.063	1
1977.969	1
1983.969	1
1989.906	1
1995.656	1
2001.688	1
2007.469	1
2013.375	1
2020.656	1
2025.188	1
2031.125	1
2038.531	1
2042.906	1
2048.813	1
2054.844	1
2060.781	1
2066.594	1
2072.438	1
2078.594	1
2084.25	1
2090.219	1
2095.188	1
2103.188	1
2107	1
2114.313	1
2119.004	1
2124.938	1
2131.188	1
2136.719	1
2143.438	1
2148.594	1
2155.375	1
2161.344	1
2165	1
2510.344	1
2685.219	1
2741.531	1
2744.531	1
2850.625	1
2891.25	1
