latency	type
973.844	1
980.242	1
986.156	1
991.688	1
997.438	1
1003.313	1
1008.797	1
1014.719	1
1020.406	1
1026.25	1
1032.656	1
1037.938	1
1045.125	1
1049.969	1
1055.969	1
1063.156	1
1069.031	1
1074.781	1
1080.406	1
1086.313	1
1092.25	1
1098.125	1
1104.031	1
1109.969	1
1115.875	1
1121.781	1
1127.688	1
1133.688	1
1140.938	1
1146.594	1
1152	1
1157.313	1
1163.188	1
1169.094	1
1175	1
1180.906	1
1186.781	1
1192.719	1
1198.629	1
1204.531	1
1210.438	1
1216.813	1
1223.438	1
1228.781	1
1234.25	1
1239.781	1
1245.469	1
1250.969	1
1258.531	1
1264.438	1
1270.375	1
1275.625	1
1281.625	1
1287.344	1
1293.625	1
1299.344	1
1305.219	1
1310.438	1
1317.094	1
1322.281	1
1329.281	1
1334.125	1
1340.375	1
1346.688	1
1352.813	1
1358.063	1
1364.063	1
1369.5	1
1375.469	1
1381.313	1
1387.344	1
1393.156	1
1399.969	1
1405.094	1
1410.938	1
1416.781	1
1423.438	1
1428.781	1
1434.594	1
1440.406	1
1446.531	1
1452.688	1
1457.938	1
1464.125	1
1469.813	1
1476.781	1
1481.25	1
1486.906	1
1492.938	1
1498.75	1
1504.813	1
1510.625	1
1517.297	1
1523.156	1
1528.25	1
1534.156	1
1540.906	1
1547.469	1
1552.188	1
1558.813	1
1565.063	1
1805.656	1
1813.063	1
1818.75	1
1824.25	1
1830.25	1
1836.563	1
1842.031	1
1848.344	1
1853.875	1
1859.813	1
1866.75	1
1871.156	1
1876.656	1
1882.563	1
1888.469	1
1895.156	1
1900.719	1
1906.844	1
1912.688	1
1919.313	1
1926.313	1
1931.656	1
1936.75	1
1943.094	1
1949.969	1
1955.219	1
1961.063	1
1966.656	1
1973.5	1
1979.156	1
1983.656	1
1989.781	1
1997.125	1
2001.688	1
2007.875	1
2014.031	1
2019.922	1
2025.594	1
2031.031	1
2038.125	1
2045.281	1
2050.848	1
2056.25	1
2061.75	1
2066.5	1
2072.875	1
2079.313	1
2084.906	1
2090.594	1
2096.688	1
2102.063	1
2109.125	1
2114	1
2119.656	1
2126.75	1
2131.969	1
2137.875	1
2143.938	1
2149.906	1
2156.781	1
2161.594	1
2166.469	1
2172.5	1
2178.25	1
2184.094	1
2189.969	1
2195.906	1
2201.813	1
2207.781	1
2213.719	1
2219.813	1
2225.844	1
2231.594	1
2237.563	1
2243.438	1
2249.156	1
2255.063	1
2261.313	1
2266.781	1
2272.688	1
2278.594	1
2284.938	1
2290.5	1
2296.375	1
2302.25	1
2308.188	1
2314.094	1
2320.094	1
2325.875	1
2332.031	1
2337.688	1
2343.656	1
2349.5	1
2355.406	1
2361.313	1
2367.25	1
2373.188	1
2379.156	1
2384.969	1
2390.906	1
2396.781	1
2741.938	1
3245.719	1
